filename,gt,pred,correct,infer_ms,score_leaf,score_not_leaf
LE0001.RAW,leaf,leaf,1,270,94,-94
LE0002.RAW,leaf,leaf,1,271,79,-78
LE0003.RAW,leaf,leaf,1,271,60,-56
LE0004.RAW,leaf,not_leaf,0,272,-8,16
LE0005.RAW,leaf,leaf,1,271,91,-93
LE0006.RAW,leaf,leaf,1,271,22,-17
LE0007.RAW,leaf,leaf,1,270,97,-100
LE0008.RAW,leaf,leaf,1,271,91,-90
LE0009.RAW,leaf,leaf,1,271,111,-109
LE0010.RAW,leaf,leaf,1,271,86,-88
LE0011.RAW,leaf,leaf,1,271,111,-111
LE0012.RAW,leaf,leaf,1,271,126,-126
LE0013.RAW,leaf,leaf,1,270,80,-81
LE0014.RAW,leaf,leaf,1,270,71,-73
LE0015.RAW,leaf,leaf,1,270,92,-95
LE0016.RAW,leaf,leaf,1,270,96,-98
LE0017.RAW,leaf,leaf,1,271,28,-28
LE0018.RAW,leaf,leaf,1,270,119,-120
LE0019.RAW,leaf,leaf,1,270,103,-102
LE0020.RAW,leaf,leaf,1,271,87,-85
LE0021.RAW,leaf,leaf,1,271,41,-40
LE0022.RAW,leaf,leaf,1,270,20,-22
LE0023.RAW,leaf,not_leaf,0,271,-68,73
LE0024.RAW,leaf,leaf,1,271,38,-35
LE0025.RAW,leaf,leaf,1,270,79,-81
LE0026.RAW,leaf,leaf,1,271,47,-47
LE0027.RAW,leaf,leaf,1,270,113,-113
LE0028.RAW,leaf,leaf,1,270,85,-85
LE0029.RAW,leaf,leaf,1,270,106,-106
LE0030.RAW,leaf,leaf,1,270,67,-66
LE0031.RAW,leaf,leaf,1,270,67,-68
LE0032.RAW,leaf,leaf,1,270,100,-98
LE0033.RAW,leaf,leaf,1,270,82,-84
LE0034.RAW,leaf,leaf,1,270,73,-72
LE0035.RAW,leaf,leaf,1,271,75,-70
LE0036.RAW,leaf,leaf,1,270,46,-45
LE0037.RAW,leaf,leaf,1,271,16,-9
LE0038.RAW,leaf,leaf,1,271,96,-94
LE0039.RAW,leaf,leaf,1,270,99,-100
LE0040.RAW,leaf,leaf,1,271,95,-94
LE0041.RAW,leaf,leaf,1,270,63,-62
LE0042.RAW,leaf,leaf,1,271,111,-111
LE0043.RAW,leaf,leaf,1,271,86,-88
LE0044.RAW,leaf,leaf,1,270,76,-75
LE0045.RAW,leaf,leaf,1,270,89,-93
LE0046.RAW,leaf,leaf,1,270,87,-90
LE0047.RAW,leaf,leaf,1,271,84,-82
LE0048.RAW,leaf,leaf,1,270,51,-51
LE0049.RAW,leaf,leaf,1,270,82,-82
LE0050.RAW,leaf,leaf,1,271,38,-36
LE0051.RAW,leaf,leaf,1,270,89,-90
LE0052.RAW,leaf,leaf,1,271,84,-86
LE0053.RAW,leaf,leaf,1,270,80,-81
LE0054.RAW,leaf,leaf,1,271,65,-62
LE0055.RAW,leaf,not_leaf,0,271,-3,4
LE0056.RAW,leaf,leaf,1,271,123,-124
LE0057.RAW,leaf,leaf,1,271,88,-90
LE0058.RAW,leaf,leaf,1,270,80,-83
LE0059.RAW,leaf,leaf,1,271,46,-41
LE0060.RAW,leaf,leaf,1,270,54,-52
LE0061.RAW,leaf,leaf,1,271,105,-105
LE0062.RAW,leaf,leaf,1,271,38,-35
LE0063.RAW,leaf,leaf,1,271,71,-71
LE0064.RAW,leaf,leaf,1,270,85,-87
LE0065.RAW,leaf,leaf,1,271,93,-90
LE0066.RAW,leaf,leaf,1,271,108,-111
LE0067.RAW,leaf,leaf,1,271,51,-53
LE0068.RAW,leaf,leaf,1,271,76,-74
LE0069.RAW,leaf,leaf,1,270,88,-91
LE0070.RAW,leaf,leaf,1,271,62,-57
LE0071.RAW,leaf,leaf,1,270,98,-99
LE0072.RAW,leaf,leaf,1,271,85,-86
LE0073.RAW,leaf,leaf,1,272,97,-95
LE0074.RAW,leaf,leaf,1,271,60,-60
LE0075.RAW,leaf,not_leaf,0,271,-3,2
LE0076.RAW,leaf,not_leaf,0,271,-41,52
LE0077.RAW,leaf,leaf,1,271,97,-97
LE0078.RAW,leaf,leaf,1,271,90,-89
LE0079.RAW,leaf,leaf,1,269,78,-78
LE0080.RAW,leaf,leaf,1,270,61,-59
LE0081.RAW,leaf,leaf,1,270,91,-93
LE0082.RAW,leaf,leaf,1,270,70,-73
LE0083.RAW,leaf,leaf,1,270,109,-111
LE0084.RAW,leaf,leaf,1,270,84,-85
LE0085.RAW,leaf,not_leaf,0,271,-79,82
LE0086.RAW,leaf,leaf,1,271,54,-53
LE0087.RAW,leaf,leaf,1,271,105,-105
LE0088.RAW,leaf,leaf,1,271,84,-86
LE0089.RAW,leaf,leaf,1,272,25,-26
LE0090.RAW,leaf,leaf,1,271,61,-60
LE0091.RAW,leaf,leaf,1,271,6,0
LE0092.RAW,leaf,leaf,1,271,91,-90
LE0093.RAW,leaf,leaf,1,271,106,-105
LE0094.RAW,leaf,leaf,1,272,95,-95
